fase,data,hora_brt,mandante,visitante,estadio,cidade,pais
Grupos,11/06/2026,16:00,México,África do Sul,Estádio Azteca,Cidade do México,México
Grupos,11/06/2026,23:00,Coreia do Sul,DEN/MKD/CZE/IRL,Estadio Akron,Guadalajara,México
Grupos,12/06/2026,16:00,Canadá,ITA/NIR/WAL/BIH,BMO Field,Toronto,Canadá
Grupos,12/06/2026,22:00,EUA,Paraguai,SoFi Stadium,Los Angeles,EUA
Grupos,13/06/2026,01:00,Austrália,TUR/ROU/SVK/KOS,BC Place,Vancouver,Canadá
Grupos,13/06/2026,16:00,Catar,Suíça,Levi’s Stadium,Santa Clara,EUA
Grupos,13/06/2026,19:00,Brasil,Marrocos,MetLife Stadium,Nova York/Nova Jersey,EUA
Grupos,13/06/2026,22:00,Haiti,Escócia,Gillette Stadium,Boston,EUA
Grupos,14/06/2026,14:00,Alemanha,Curaçao,NRG Stadium,Houston,EUA
Grupos,14/06/2026,17:00,Holanda,Japão,AT&T Stadium,Dallas,EUA
Grupos,14/06/2026,20:00,Costa do Marfim,Equador,Lincoln Financial Field,Filadélfia,EUA
Grupos,14/06/2026,22:00,UKR/SWE/POL/ALB,Tunísia,Estadio BBVA,Monterrey,México
Grupos,15/06/2026,13:00,Espanha,Cabo Verde,Mercedes-Benz Stadium,Atlanta,EUA
Grupos,15/06/2026,16:00,Bélgica,Egito,Lumen Field,Seattle,EUA
Grupos,15/06/2026,19:00,Arábia Saudita,Uruguai,Hard Rock Stadium,Miami,EUA
Grupos,15/06/2026,22:00,Irã,Nova Zelândia,SoFi Stadium,Los Angeles,EUA
Grupos,16/06/2026,16:00,França,Senegal,MetLife Stadium,Nova York/Nova Jersey,EUA
Grupos,16/06/2026,19:00,IRQ/BOL/SUR,Noruega,Gillette Stadium,Boston,EUA
Grupos,16/06/2026,22:00,Argentina,Argélia,Arrowhead Stadium,Kansas City,EUA
Grupos,17/06/2026,01:00,Áustria,Jordânia,Levi’s Stadium,Santa Clara,EUA
Grupos,17/06/2026,14:00,Portugal,COD/JAM/NCL,NRG Stadium,Houston,EUA
Grupos,17/06/2026,17:00,Inglaterra,Croácia,AT&T Stadium,Dallas,EUA
Grupos,17/06/2026,20:00,Gana,Panamá,BMO Field,Toronto,Canadá
Grupos,17/06/2026,21:00,Uzbequistão,Colômbia,Estádio Azteca,Cidade do México,México
Grupos,18/06/2026,13:00,DEN/MKD/CZE/IRL,África do Sul,Mercedes-Benz Stadium,Atlanta,EUA
Grupos,18/06/2026,16:00,Suíça,ITA/NIR/WAL/BIH,SoFi Stadium,Los Angeles,EUA
Grupos,18/06/2026,19:00,Canadá,Catar,BC Place,Vancouver,Canadá
Grupos,18/06/2026,22:00,México,Coreia do Sul,Estadio Akron,Guadalajara,México
Grupos,19/06/2026,01:00,TUR/ROU/SVK/KOS,Paraguai,Levi’s Stadium,Santa Clara,EUA
Grupos,19/06/2026,16:00,EUA,Austrália,Lumen Field,Seattle,EUA
Grupos,19/06/2026,19:00,Escócia,Marrocos,Gillette Stadium,Boston,EUA
Grupos,19/06/2026,22:00,Brasil,Haiti,Lincoln Financial Field,Filadélfia,EUA
Grupos,20/06/2026,14:00,Holanda,UKR/SWE/POL/ALB,NRG Stadium,Houston,EUA
Grupos,20/06/2026,17:00,Alemanha,Costa do Marfim,BMO Field,Toronto,Canadá
Grupos,20/06/2026,21:00,Equador,Curaçao,Arrowhead Stadium,Kansas City,EUA
Grupos,20/06/2026,23:00,Tunísia,Japão,Estadio BBVA,Monterrey,México
Grupos,21/06/2026,13:00,Espanha,Arábia Saudita,Mercedes-Benz Stadium,Atlanta,EUA
Grupos,21/06/2026,16:00,Bélgica,Irã,SoFi Stadium,Los Angeles,EUA
Grupos,21/06/2026,19:00,Uruguai,Cabo Verde,Hard Rock Stadium,Miami,EUA
Grupos,21/06/2026,22:00,Nova Zelândia,Egito,BC Place,Vancouver,Canadá
Grupos,22/06/2026,14:00,Argentina,Áustria,AT&T Stadium,Dallas,EUA
Grupos,22/06/2026,18:00,França,IRQ/BOL/SUR,Lincoln Financial Field,Filadélfia,EUA
Grupos,22/06/2026,21:00,Noruega,Senegal,MetLife Stadium,Nova York/Nova Jersey,EUA
Grupos,23/06/2026,00:00,Jordânia,Argélia,Levi’s Stadium,Santa Clara,EUA
Grupos,23/06/2026,14:00,Portugal,Uzbequistão,NRG Stadium,Houston,EUA
Grupos,23/06/2026,17:00,Inglaterra,Gana,Gillette Stadium,Boston,EUA
Grupos,23/06/2026,20:00,Panamá,Croácia,BMO Field,Toronto,Canadá
Grupos,23/06/2026,23:00,Colômbia,COD/JAM/NCL,Estadio Akron,Guadalajara,México
Grupos,24/06/2026,16:00,Suíça,Canadá,BC Place,Vancouver,Canadá
Grupos,24/06/2026,16:00,ITA/NIR/WAL/BIH,Catar,Lumen Field,Seattle,EUA
Grupos,24/06/2026,19:00,Escócia,Brasil,Hard Rock Stadium,Miami,EUA
Grupos,24/06/2026,19:00,Marrocos,Haiti,Mercedes-Benz Stadium,Atlanta,EUA (… demais grupos seguem mesma estrutura conforme PDF oficial …)
Grupos,24/06/2026,20:00,DEN/MKD/CZE/IRL,México,Estádio Azteca,Cidade do México,México
Grupos,24/06/2026,22:00,África do Sul,Coreia do Sul,Estadio BBVA,Monterrey,México
Grupos,25/06/2026,17:00,Equador,Alemanha,MetLife Stadium,Nova York/Nova Jersey,EUA
Grupos,25/06/2026,17:00,Curaçao,Costa do Marfim,Lincoln Financial Field,Filadélfia,EUA
Grupos,25/06/2026,20:00,Japão,UKR/SWE/POL/ALB,AT&T Stadium,Dallas,EUA
Grupos,25/06/2026,20:00,Tunísia,Holanda,Arrowhead Stadium,Kansas City,EUA
Grupos,25/06/2026,23:00,TUR/ROU/SVK/KOS,EUA,SoFi Stadium,Los Angeles,EUA
Grupos,25/06/2026,23:00,Paraguai,Austrália,Levi’s Stadium,Santa Clara,EUA
Grupos,26/06/2026,00:00,Egito,Irã,Lumen Field,Seattle,EUA
Grupos,26/06/2026,00:00,Nova Zelândia,Bélgica,BC Place,Vancouver,Canadá
Grupos,26/06/2026,16:00,Noruega,França,Gillette Stadium,Boston,EUA
Grupos,26/06/2026,16:00,Senegal,IRQ/BOL/SUR,BMO Field,Toronto,Canadá
Grupos,26/06/2026,21:00,Cabo Verde,Arábia Saudita,NRG Stadium,Houston,EUA
Grupos,26/06/2026,21:00,Uruguai,Espanha,Estadio Akron,Guadalajara,México
Grupos,27/06/2026,18:00,Panamá,Inglaterra,MetLife Stadium,Nova York/Nova Jersey,EUA
Grupos,27/06/2026,18:00,Croácia,Gana,Lincoln Financial Field,Filadélfia,EUA
Grupos,27/06/2026,20:30,Colômbia,Portugal,Hard Rock Stadium,Miami,EUA
Grupos,27/06/2026,20:30,COD/JAM/NCL,Uzbequistão,Mercedes-Benz Stadium,Atlanta,EUA
Grupos,27/06/2026,23:00,Argélia,Áustria,Arrowhead Stadium,Kansas City,EUA
Grupos,27/06/2026,23:00,Jordânia,Argentina,AT&T Stadium,Dallas,EUA
32-avos,28/06/2026,16:00,2º A,2º B,SoFi Stadium,Los Angeles,EUA
32-avos,29/06/2026,14:00,1º C,2º F,NRG Stadium,Houston,EUA
32-avos,29/06/2026,17:30,1º E,3º (A/B/C/D/F),Gillette Stadium,Boston,EUA
32-avos,29/06/2026,22:00,1º F,2º C,Estadio BBVA,Monterrey,México
32-avos,30/06/2026,14:00,2º E,2º I,AT&T Stadium,Dallas,EUA
32-avos,30/06/2026,18:00,1º I,3º (C/D/F/G/H),MetLife Stadium,Nova York/Nova Jersey,EUA
32-avos,30/06/2026,22:00,1º A,3º (C/E/F/H/I),Estádio Azteca,Cidade do México,México
32-avos,01/07/2026,13:00,1º L,3º (E/H/I/J/K),Mercedes-Benz Stadium,Atlanta,EUA
32-avos,01/07/2026,17:00,1º G,3º (A/E/H/I/J),Lumen Field,Seattle,EUA
32-avos,01/07/2026,21:00,1º D,3º (B/E/F/I/J),Levi’s Stadium,Santa Clara,EUA
32-avos,02/07/2026,00:00,1º B,3º (E/F/G/I/J),BC Place,Vancouver,Canadá
32-avos,02/07/2026,16:00,1º H,2º J,SoFi Stadium,Los Angeles,EUA
32-avos,02/07/2026,20:00,2º K,2º L,BMO Field,Toronto,Canadá
32-avos,03/07/2026,15:00,2º D,2º G,AT&T Stadium,Dallas,EUA
32-avos,03/07/2026,19:00,1º J,2º H,Hard Rock Stadium,Miami,EUA
32-avos,03/07/2026,22:30,1º K,3º (D/E/I/J/L),Arrowhead Stadium,Kansas City,EUA
Final,19/07/2026,16:00,V101,V102,MetLife Stadium,Nova York/Nova Jersey,EUA
