fase,fase_codigo,fase_ordem,grupo,rodada,data,data_iso,hora_brt,mandante,mandante_slot,visitante,visitante_slot,estadio,cidade,pais,fuso_lista
Grupos,11,1,A,1,11/06/2026,2026-06-11,16:00,México,,África do Sul,,Estádio Azteca,Cidade do México,México,BRT
Grupos,11,1,A,1,11/06/2026,2026-06-11,23:00,Coreia do Sul,,Repescagem Europeia D,Repescagem Europeia D,Estadio Akron,Guadalajara,México,BRT
Grupos,11,1,B,1,12/06/2026,2026-06-12,16:00,Canadá,,Repescagem Europeia A,Repescagem Europeia A,BMO Field,Toronto,Canadá,BRT
Grupos,11,1,D,1,12/06/2026,2026-06-12,22:00,Estados Unidos,,Paraguai,,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,11,1,D,1,13/06/2026,2026-06-13,01:00,Austrália,,Repescagem Europeia C,Repescagem Europeia C,BC Place,Vancouver,Canadá,BRT
Grupos,11,1,B,1,13/06/2026,2026-06-13,16:00,Catar,,Suíça,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,11,1,C,1,13/06/2026,2026-06-13,19:00,Brasil,,Marrocos,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,11,1,C,1,13/06/2026,2026-06-13,22:00,Haiti,,Escócia,,Gillette Stadium,Boston,EUA,BRT
Grupos,11,1,E,1,14/06/2026,2026-06-14,14:00,Alemanha,,Curaçao,,NRG Stadium,Houston,EUA,BRT
Grupos,11,1,F,1,14/06/2026,2026-06-14,17:00,Holanda,,Japão,,AT&T Stadium,Dallas,EUA,BRT
Grupos,11,1,E,1,14/06/2026,2026-06-14,20:00,Costa do Marfim,,Equador,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,11,1,F,1,14/06/2026,2026-06-14,22:00,Repescagem Europeia B,Repescagem Europeia B,Tunísia,,Estadio BBVA,Monterrey,México,BRT
Grupos,11,1,H,1,15/06/2026,2026-06-15,13:00,Espanha,,Cabo Verde,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,11,1,G,1,15/06/2026,2026-06-15,16:00,Bélgica,,Egito,,Lumen Field,Seattle,EUA,BRT
Grupos,11,1,H,1,15/06/2026,2026-06-15,19:00,Arábia Saudita,,Uruguai,,Hard Rock Stadium,Miami,EUA,BRT
Grupos,11,1,G,1,15/06/2026,2026-06-15,22:00,Irã,,Nova Zelândia,,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,11,1,I,1,16/06/2026,2026-06-16,16:00,França,,Senegal,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,11,1,I,1,16/06/2026,2026-06-16,19:00,Repescagem Intercontinental,Repescagem Intercontinental,Noruega,,Gillette Stadium,Boston,EUA,BRT
Grupos,11,1,J,1,16/06/2026,2026-06-16,22:00,Argentina,,Argélia,,Arrowhead Stadium,Kansas City,EUA,BRT
Grupos,11,1,J,1,17/06/2026,2026-06-17,01:00,Áustria,,Jordânia,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,11,1,K,1,17/06/2026,2026-06-17,14:00,Portugal,,Repescagem Intercontinental 2,Repescagem Intercontinental 2,NRG Stadium,Houston,EUA,BRT
Grupos,11,1,L,1,17/06/2026,2026-06-17,17:00,Inglaterra,,Croácia,,AT&T Stadium,Dallas,EUA,BRT
Grupos,11,1,L,1,17/06/2026,2026-06-17,20:00,Gana,,Panamá,,BMO Field,Toronto,Canadá,BRT
Grupos,11,1,K,1,17/06/2026,2026-06-17,21:00,Uzbequistão,,Colômbia,,Estádio Azteca,Cidade do México,México,BRT
Grupos,11,1,A,2,18/06/2026,2026-06-18,13:00,Repescagem Europeia D,Repescagem Europeia D,África do Sul,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,11,1,B,2,18/06/2026,2026-06-18,16:00,Suíça,,Repescagem Europeia A,Repescagem Europeia A,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,11,1,B,2,18/06/2026,2026-06-18,19:00,Canadá,,Catar,,BC Place,Vancouver,Canadá,BRT
Grupos,11,1,A,2,18/06/2026,2026-06-18,22:00,México,,Coreia do Sul,,Estadio Akron,Guadalajara,México,BRT
Grupos,11,1,D,2,19/06/2026,2026-06-19,01:00,Repescagem Europeia C,Repescagem Europeia C,Paraguai,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,11,1,D,2,19/06/2026,2026-06-19,16:00,Estados Unidos,,Austrália,,Lumen Field,Seattle,EUA,BRT
Grupos,11,1,C,2,19/06/2026,2026-06-19,19:00,Escócia,,Marrocos,,Gillette Stadium,Boston,EUA,BRT
Grupos,11,1,C,2,19/06/2026,2026-06-19,22:00,Brasil,,Haiti,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,11,1,F,2,20/06/2026,2026-06-20,14:00,Holanda,,Repescagem Europeia B,Repescagem Europeia B,NRG Stadium,Houston,EUA,BRT
Grupos,11,1,E,2,20/06/2026,2026-06-20,17:00,Alemanha,,Costa do Marfim,,BMO Field,Toronto,Canadá,BRT
Grupos,11,1,E,2,20/06/2026,2026-06-20,21:00,Equador,,Curaçao,,Arrowhead Stadium,Kansas City,EUA,BRT
Grupos,11,1,F,2,20/06/2026,2026-06-20,23:00,Tunísia,,Japão,,Estadio BBVA,Monterrey,México,BRT
Grupos,11,1,H,2,21/06/2026,2026-06-21,13:00,Espanha,,Arábia Saudita,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,11,1,G,2,21/06/2026,2026-06-21,16:00,Bélgica,,Irã,,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,11,1,H,2,21/06/2026,2026-06-21,19:00,Uruguai,,Cabo Verde,,Hard Rock Stadium,Miami,EUA,BRT
Grupos,11,1,G,2,21/06/2026,2026-06-21,22:00,Nova Zelândia,,Egito,,BC Place,Vancouver,Canadá,BRT
Grupos,11,1,J,2,22/06/2026,2026-06-22,14:00,Argentina,,Áustria,,AT&T Stadium,Dallas,EUA,BRT
Grupos,11,1,I,2,22/06/2026,2026-06-22,18:00,França,,Repescagem Intercontinental,Repescagem Intercontinental,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,11,1,I,2,22/06/2026,2026-06-22,21:00,Noruega,,Senegal,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,11,1,J,2,23/06/2026,2026-06-23,00:00,Jordânia,,Argélia,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,11,1,K,2,23/06/2026,2026-06-23,14:00,Portugal,,Uzbequistão,,NRG Stadium,Houston,EUA,BRT
Grupos,11,1,L,2,23/06/2026,2026-06-23,17:00,Inglaterra,,Gana,,Gillette Stadium,Boston,EUA,BRT
Grupos,11,1,L,2,23/06/2026,2026-06-23,20:00,Panamá,,Croácia,,BMO Field,Toronto,Canadá,BRT
Grupos,11,1,K,2,23/06/2026,2026-06-23,23:00,Colômbia,,Repescagem Intercontinental 2,Repescagem Intercontinental 2,Estadio Akron,Guadalajara,México,BRT
Grupos,11,1,B,3,24/06/2026,2026-06-24,16:00,Suíça,,Canadá,,BC Place,Vancouver,Canadá,BRT
Grupos,11,1,B,3,24/06/2026,2026-06-24,16:00,Repescagem Europeia A,Repescagem Europeia A,Catar,,Lumen Field,Seattle,EUA,BRT
Grupos,11,1,C,3,24/06/2026,2026-06-24,19:00,Escócia,,Brasil,,Hard Rock Stadium,Miami,EUA,BRT
Grupos,11,1,C,3,24/06/2026,2026-06-24,19:00,Marrocos,,Haiti,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,11,1,A,3,24/06/2026,2026-06-24,20:00,Repescagem Europeia D,Repescagem Europeia D,México,,Estádio Azteca,Cidade do México,México,BRT
Grupos,11,1,A,3,24/06/2026,2026-06-24,22:00,África do Sul,,Coreia do Sul,,Estadio BBVA,Monterrey,México,BRT
Grupos,11,1,E,3,25/06/2026,2026-06-25,17:00,Equador,,Alemanha,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,11,1,E,3,25/06/2026,2026-06-25,17:00,Curaçao,,Costa do Marfim,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,11,1,F,3,25/06/2026,2026-06-25,20:00,Japão,,Repescagem Europeia B,Repescagem Europeia B,AT&T Stadium,Dallas,EUA,BRT
Grupos,11,1,F,3,25/06/2026,2026-06-25,20:00,Tunísia,,Holanda,,Arrowhead Stadium,Kansas City,EUA,BRT
Grupos,11,1,D,3,25/06/2026,2026-06-25,23:00,Repescagem Europeia C,Repescagem Europeia C,Estados Unidos,,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,11,1,D,3,25/06/2026,2026-06-25,23:00,Paraguai,,Austrália,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,11,1,G,3,26/06/2026,2026-06-26,00:00,Egito,,Irã,,Lumen Field,Seattle,EUA,BRT
Grupos,11,1,G,3,26/06/2026,2026-06-26,00:00,Nova Zelândia,,Bélgica,,BC Place,Vancouver,Canadá,BRT
Grupos,11,1,I,3,26/06/2026,2026-06-26,16:00,Noruega,,França,,Gillette Stadium,Boston,EUA,BRT
Grupos,11,1,I,3,26/06/2026,2026-06-26,16:00,Senegal,,Repescagem Intercontinental,Repescagem Intercontinental,BMO Field,Toronto,Canadá,BRT
Grupos,11,1,H,3,26/06/2026,2026-06-26,21:00,Cabo Verde,,Arábia Saudita,,NRG Stadium,Houston,EUA,BRT
Grupos,11,1,H,3,26/06/2026,2026-06-26,21:00,Uruguai,,Espanha,,Estadio Akron,Guadalajara,México,BRT
Grupos,11,1,L,3,27/06/2026,2026-06-27,18:00,Panamá,,Inglaterra,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,11,1,L,3,27/06/2026,2026-06-27,18:00,Croácia,,Gana,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,11,1,K,3,27/06/2026,2026-06-27,20:30,Colômbia,,Portugal,,Hard Rock Stadium,Miami,EUA,BRT
Grupos,11,1,K,3,27/06/2026,2026-06-27,20:30,Repescagem Intercontinental 2,Repescagem Intercontinental 2,Uzbequistão,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,11,1,J,3,27/06/2026,2026-06-27,23:00,Argélia,,Áustria,,Arrowhead Stadium,Kansas City,EUA,BRT
Grupos,11,1,J,3,27/06/2026,2026-06-27,23:00,Jordânia,,Argentina,,AT&T Stadium,Dallas,EUA,BRT
