fase,fase_codigo,fase_ordem,grupo,rodada,data,data_iso,hora_brt,mandante,mandante_slot,visitante,visitante_slot,estadio,cidade,pais,fuso_lista
Grupos,11,1,A,1,11/06/2026,2026-06-11,16:00,México,,África do Sul,,Estádio Azteca,Cidade do México,México,BRT
Grupos,11,1,A,1,11/06/2026,2026-06-11,23:00,Coreia do Sul,,DEN/MKD/CZE/IRL,UEFA Playoff D,Estadio Akron,Guadalajara,México,BRT
Grupos,11,1,B,1,12/06/2026,2026-06-12,16:00,Canadá,,ITA/NIR/WAL/BIH,UEFA Playoff A,BMO Field,Toronto,Canadá,BRT
Grupos,11,1,D,1,12/06/2026,2026-06-12,22:00,EUA,,Paraguai,,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,11,1,D,1,13/06/2026,2026-06-13,01:00,Austrália,,TUR/ROU/SVK/KOS,UEFA Playoff C,BC Place,Vancouver,Canadá,BRT
Grupos,11,1,B,1,13/06/2026,2026-06-13,16:00,Catar,,Suíça,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,11,1,C,1,13/06/2026,2026-06-13,19:00,Brasil,,Marrocos,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,11,1,C,1,13/06/2026,2026-06-13,22:00,Haiti,,Escócia,,Gillette Stadium,Boston,EUA,BRT
Grupos,11,1,E,1,14/06/2026,2026-06-14,14:00,Alemanha,,Curaçao,,NRG Stadium,Houston,EUA,BRT
Grupos,11,1,F,1,14/06/2026,2026-06-14,17:00,Holanda,,Japão,,AT&T Stadium,Dallas,EUA,BRT
Grupos,11,1,E,1,14/06/2026,2026-06-14,20:00,Costa do Marfim,,Equador,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,11,1,F,1,14/06/2026,2026-06-14,22:00,UKR/SWE/POL/ALB,UEFA Playoff B,Tunísia,,Estadio BBVA,Monterrey,México,BRT
Grupos,11,1,H,1,15/06/2026,2026-06-15,13:00,Espanha,,Cabo Verde,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,11,1,G,1,15/06/2026,2026-06-15,16:00,Bélgica,,Egito,,Lumen Field,Seattle,EUA,BRT
Grupos,11,1,H,1,15/06/2026,2026-06-15,19:00,Arábia Saudita,,Uruguai,,Hard Rock Stadium,Miami,EUA,BRT
Grupos,11,1,G,1,15/06/2026,2026-06-15,22:00,Irã,,Nova Zelândia,,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,11,1,I,1,16/06/2026,2026-06-16,16:00,França,,Senegal,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,11,1,I,1,16/06/2026,2026-06-16,19:00,IRQ/BOL/SUR,Playoff Intercontinental 2,Noruega,,Gillette Stadium,Boston,EUA,BRT
Grupos,11,1,J,1,16/06/2026,2026-06-16,22:00,Argentina,,Argélia,,Arrowhead Stadium,Kansas City,EUA,BRT
Grupos,11,1,J,1,17/06/2026,2026-06-17,01:00,Áustria,,Jordânia,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,11,1,K,1,17/06/2026,2026-06-17,14:00,Portugal,,COD/JAM/NCL,Playoff Intercontinental 1,NRG Stadium,Houston,EUA,BRT
Grupos,11,1,L,1,17/06/2026,2026-06-17,17:00,Inglaterra,,Croácia,,AT&T Stadium,Dallas,EUA,BRT
Grupos,11,1,L,1,17/06/2026,2026-06-17,20:00,Gana,,Panamá,,BMO Field,Toronto,Canadá,BRT
Grupos,11,1,K,1,17/06/2026,2026-06-17,21:00,Uzbequistão,,Colômbia,,Estádio Azteca,Cidade do México,México,BRT
Grupos,12,1,A,2,18/06/2026,2026-06-18,13:00,DEN/MKD/CZE/IRL,UEFA Playoff D,África do Sul,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,12,1,B,2,18/06/2026,2026-06-18,16:00,Suíça,,ITA/NIR/WAL/BIH,UEFA Playoff A,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,12,1,B,2,18/06/2026,2026-06-18,19:00,Canadá,,Catar,,BC Place,Vancouver,Canadá,BRT
Grupos,12,1,A,2,18/06/2026,2026-06-18,22:00,México,,Coreia do Sul,,Estadio Akron,Guadalajara,México,BRT
Grupos,12,1,D,2,19/06/2026,2026-06-19,01:00,TUR/ROU/SVK/KOS,UEFA Playoff C,Paraguai,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,12,1,D,2,19/06/2026,2026-06-19,16:00,EUA,,Austrália,,Lumen Field,Seattle,EUA,BRT
Grupos,12,1,C,2,19/06/2026,2026-06-19,19:00,Escócia,,Marrocos,,Gillette Stadium,Boston,EUA,BRT
Grupos,12,1,C,2,19/06/2026,2026-06-19,22:00,Brasil,,Haiti,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,12,1,F,2,20/06/2026,2026-06-20,14:00,Holanda,,UKR/SWE/POL/ALB,UEFA Playoff B,NRG Stadium,Houston,EUA,BRT
Grupos,12,1,E,2,20/06/2026,2026-06-20,17:00,Alemanha,,Costa do Marfim,,BMO Field,Toronto,Canadá,BRT
Grupos,12,1,E,2,20/06/2026,2026-06-20,21:00,Equador,,Curaçao,,Arrowhead Stadium,Kansas City,EUA,BRT
